Station Code,Station Name,ICS Code,Postcode
"ZCS","ZCS","Cutty Sark","940GZZDLCUT","SE109DW"
"ZCT","CTN","Camden Town","940GZZLUCTN","NW18NH"
"ZCV","COV","Covent Garden","940GZZLUCGN","WC2E9JT"
"ZCW","Canada Water","910GCNDAW","SE167HS"
"ZCY","CYL","Chancery Lane","940GZZLUCHL","WC1V6DR"
"ZCZ","CWF","Canary Wharf","940GZZLUCYF","E144HJ"
"ZDE","DGE","Dagenham East","940GZZLUDGE","RM108AA"
"ZDH","DGH","Dagenham Heathway","940GZZLUDGY","RM95AN"
"ZDO","DHL","Dollis Hill","940GZZLUDOH","NW105NB"
"ZDP","ZDP","Deptford Bridge","940GZZDLDEP","SE84HH"
"ZDR","ZDR","Devons Road","940GZZDLDEV","E34DP"
"ZEA","EAC","East Acton","940GZZLUEAN","W120BP"
"ZEB","ERB","Edgware Road (Bakerloo)","940GZZLUERB","W21EB"
"ZEC","ECM","Ealing Common","940GZZLUECM","W53LD"
"ZED","EDG","Edgware","940GZZLUEGW","HA87AW"
"ZEE","ETE","Eastcote","940GZZLUEAE","HA51QZ"
"ZEF","EFY","East Finchley","940GZZLUEFY","N20NW"
"ZEH","EHM","East Ham","940GZZLUEHM","E62JA"
"ZEI","ZEI","East India","940GZZDLEIN","E149GF"
"ZEK","EMB","Embankment","910GCHRX","WC2N6NS"
"ZEL","Elephant & Castle (Underground)","910GELPHNAC","SE16LW"
"ZEM","ERD","Edgware Road (Circle)","940GZZLUERC","NW15DD"
"ZEP","EPK","Elm Park","940GZZLUEPK","RM124RW"
"ZER","ZER","Elverson Road","940GZZDLELV","SE137RN"
"ZES","ESQ","Euston Square","940GZZLUESQ","NW12BN"
"ZET","ECT","Earls Court","940GZZLUECT","SW59QA"
"ZFA","FLP","Fairlop","940GZZLUFLP","IG63HD"
"ZFB","FBY","Fulham Broadway","940GZZLUFBY","SW61BY"
"ZFC","FYC","Finchley Central","940GZZLUFYC","N32RY"
"ZFD","Farringdon","910GFRNDNLT","EC1N8QT"
"ZFR","FRD","Finchley Road","940GZZLUFYR","NW36OP"
"ZGA","GHL","Gants Hill","940GZZLUGTH","IG26UD"
